EntryExit,Date
1,2017-11-27 23:34:14
0,2017-10-30 01:38:08
1,2017-05-03 18:20:24
1,2017-05-15 19:40:29
1,2017-10-17 19:20:21
0,2018-02-11 00:31:09
1,2017-10-02 04:48:14
0,2017-10-07 08:40:19
0,2017-07-14 07:30:12
0,2017-05-01 13:17:51
0,2017-09-06 12:58:57
0,2017-10-25 03:28:25
0,2017-04-30 08:23:36
0,2017-10-23 18:27:59
1,2017-07-23 00:11:10
1,2017-06-09 13:08:29
1,2018-04-01 08:38:33
0,2017-06-06 02:50:22
0,2018-01-06 16:34:05
0,2018-01-27 22:00:00
1,2017-06-16 10:26:12
1,2017-12-27 18:56:44
0,2017-08-13 07:30:38
1,2017-08-11 20:38:45
1,2017-12-11 21:42:50
1,2017-11-09 02:31:30
1,2017-07-10 09:42:34
1,2017-08-07 01:59:17
0,2017-07-01 13:38:47
1,2017-11-24 10:43:57
1,2017-11-02 21:19:04
1,2017-04-27 09:19:58
1,2018-04-12 22:52:41
0,2017-06-24 21:46:18
1,2018-01-04 03:13:36
0,2017-05-20 06:17:37
1,2017-05-15 17:01:54
0,2018-03-03 16:46:43
0,2017-12-21 03:45:23
1,2017-10-13 15:29:58
1,2017-09-28 04:22:31
1,2017-07-16 07:56:28
0,2017-09-12 04:13:50
0,2017-08-22 13:07:15
0,2018-03-27 04:25:59
1,2017-06-26 18:12:13
0,2017-08-28 15:17:19
0,2018-01-02 20:46:18
0,2017-05-30 17:40:08
0,2017-08-25 22:16:54
0,2017-08-29 05:05:29
0,2017-10-28 03:59:07
1,2018-02-06 09:30:48
0,2017-12-07 10:37:52
1,2017-09-25 07:39:10
0,2018-03-02 18:06:54
0,2017-11-29 10:39:38
1,2017-08-14 02:01:56
1,2017-11-14 13:08:46
0,2017-08-01 20:47:13
1,2017-12-27 05:34:44
1,2018-01-29 08:38:53
0,2017-11-06 19:36:58
1,2017-07-15 16:28:45
0,2017-10-28 10:46:35
0,2018-01-01 18:11:58
1,2017-04-29 21:43:28
1,2017-10-01 17:36:15
1,2017-11-15 19:06:17
0,2017-08-21 02:06:35
1,2017-12-28 11:03:04
0,2017-12-26 17:18:20
1,2017-12-06 16:19:09
0,2017-09-24 04:29:59
1,2017-10-28 20:29:41
1,2017-12-06 14:57:14
1,2017-12-18 06:30:29
1,2017-08-28 04:06:05
0,2017-05-10 19:06:54
0,2017-10-02 14:22:16
0,2017-08-30 23:21:19
1,2017-11-19 10:18:44
1,2017-09-03 09:09:00
0,2017-10-03 13:23:36
1,2017-06-03 11:15:24
1,2017-06-02 18:10:42
0,2017-07-24 20:40:11
1,2017-12-20 04:48:43
0,2017-05-04 04:44:43
